Date,Open,High,Low,Close,Volume,Adj Close
2012-02-07,103.22,104.70,102.96,104.23,1307900,102.72
2012-02-06,103.04,103.86,102.68,103.46,1557700,101.96
2012-02-03,103.50,104.00,103.10,103.50,3298100,102.00
2012-02-02,104.00,104.19,102.57,102.82,2343300,101.33
2012-02-01,104.41,104.83,103.74,103.75,2500200,102.24
2012-01-31,104.57,104.94,103.46,103.99,6187400,102.48
2012-01-30,101.45,104.15,100.87,103.39,2973100,101.89
2012-01-27,102.17,102.63,101.50,102.11,1733600,100.63
2012-01-26,103.00,103.22,101.79,102.30,1882100,100.81
2012-01-25,101.92,103.29,101.89,103.21,2846000,101.71
2012-01-24,101.34,102.38,101.02,102.21,1641100,100.73
2012-01-23,101.92,102.97,101.17,101.56,2082500,100.09
2012-01-20,101.55,102.00,101.02,101.76,2237300,100.28
2012-01-19,100.74,101.97,100.52,101.58,2289600,100.11
2012-01-18,98.81,101.12,98.70,100.86,3069800,99.40
2012-01-17,98.70,99.44,98.05,99.24,2060600,97.80
2012-01-13,98.39,98.93,98.04,98.30,1633500,96.87
2012-01-12,98.29,99.14,97.74,99.10,1879200,97.66
2012-01-11,98.27,98.60,97.79,98.14,1749300,96.72
2012-01-10,98.83,98.93,97.68,98.47,2453200,97.04
2012-01-09,98.10,98.93,97.70,98.35,2511500,96.92
2012-01-06,97.93,98.50,97.52,97.99,1940300,96.57
2012-01-05,97.79,98.58,97.00,98.16,2098400,96.73
2012-01-04,96.71,98.75,96.51,98.22,2360300,96.79
2012-01-03,97.37,97.99,96.70,96.81,2736000,95.40
2011-12-30,97.39,97.54,96.37,96.37,1652400,94.97
2011-12-29,96.55,97.92,96.49,97.46,2143000,96.05
2011-12-28,97.93,98.00,96.28,96.43,1707600,95.03
2011-12-27,96.98,98.00,96.51,97.77,1612100,96.35
2011-12-23,95.27,96.93,94.77,96.90,1791400,95.49
2011-12-22,96.59,96.59,94.25,94.82,2927400,93.44
2011-12-21,95.83,97.29,94.29,96.35,6261200,94.95
2011-12-20,94.48,95.90,92.89,93.63,4575300,92.27
2011-12-19,93.92,94.14,93.06,93.38,2189200,92.02
2011-12-16,94.78,95.08,93.55,93.67,3196400,92.31
2011-12-15,95.44,95.74,93.41,94.08,2683100,92.71
2011-12-14,94.97,95.72,93.75,94.39,2363900,93.02
2011-12-13,97.13,97.79,94.41,95.05,2678500,93.67
2011-12-12,97.34,97.75,95.78,96.95,2712800,95.54
